Unnamed: 0,id,date,link,tweets,label
0.0,1588726533476462594,2022-11-05,https://twitter.com/anton_sukisno/status/1588726533476462594,tanjung gua kan ga belanja pake us dollar jd kenapa pusing inflasi jg tetep rendah di banding eropa apa lagi turkiye yg sdh diatas  selama expor tetap moncer dan devisa masuk itu ga ngaruh kecuali nilai import  lebih besar dr expor tp kalian mana ngerti ga nyampe otak nya,-1.0
1.0,1588724920149839872,2022-11-05,https://twitter.com/rachmanesha/status/1588724920149839872,gerakan nasional pengendalian inflasi di banjarnegara,1.0
2.0,1588723784810655744,2022-11-05,https://twitter.com/dairi_polres/status/1588723784810655744,kapolda sumut minta kepala daerah tidak ragu memaksimalkan penyerapan anggaran utk atasi inflasi  tribrata polres dairi,-1.0
3.0,1588723540563484675,2022-11-05,https://twitter.com/detikfinance/status/1588723540563484675,bank sentral menaikkan bunga demi menjaga stabilitas nilai tukar rupiah terhadap dolar as serta menurunkan ekspektasi inflasi yang sudah terlalu tinggi,-1.0
4.0,1588723468392345602,2022-11-05,https://twitter.com/syazrulaqram/status/1588723468392345602,gila turki inflasi sampai  rakyat turki tak mengamuk ke erdogan ke,-1.0
5.0,1588722472433909763,2022-11-05,https://twitter.com/intanina__/status/1588722472433909763,jangan lupa kalau bunga obligasi ini juga masih dipotong  lagi buat pajak di nilai inflasi yg skrg jadinya ya gitu deh,-1.0
6.0,1588721728850911234,2022-11-05,https://twitter.com/KomunitasKretek/status/1588721728850911234,tidak terjangkaunya harga rokok bagi perokok dipengaruhi oleh kondisi inflasi yang tinggi pendapatan masyarakat yang rendah dan menurunnya daya beli masyarakat,-1.0
7.0,1588721639390613505,2022-11-05,https://twitter.com/intanina__/status/1588721639390613505,nah ini juga sebabnya kemarin kurang tertarik ambil sbn akhirnya dana aku tempatkan di saham sama emas biar nilainya kurleb tetap emas dan kelawan sama inflasi saham,1.0
8.0,1588720861728870402,2022-11-05,https://twitter.com/SonaySonney/status/1588720861728870402,lagi ngantri sembako ya kak dimana mau ngantri juga ah lumayan buat cadangan tahun depan inflasi besaran itu,1.0
9.0,1588719758480113665,2022-11-05,https://twitter.com/BeniTrisura/status/1588719758480113665,kerja nyata apa yg jelas ekonomi indonesia ngga bertumbuh secara significant apalagi melampaui sby inflasi terus berlangsung daya beli merosot dollar terus melambung narasinya selalu bertolak belakang dg kenyataan,-1.0
10.0,1588717667007213568,2022-11-05,https://twitter.com/mierularep/status/1588717667007213568,tingi nya inflasi turki  sampai  patot la diorg pakai usd  duit jatuh teruk,-1.0
11.0,1588715050663313408,2022-11-05,https://twitter.com/udapinto_/status/1588715050663313408,coba ngobrolin geopolitik eropa timur dan inflasi turki yg meroket,1.0
